TSN,FormID,FoliageID,ScientificName,CrownShapeFactor,FlammID,PDFoliage,PDWood,PDRotten,TreeBD,SV,treeBioEqID,shrubBioEqID,treeCrownDensity,HCFoliage,HCWood,canopy,shrub,nonwoody,woody,acceptedTSN,CommonName
23519,2,6,Arctostaphylos pungens,0.5,2,25.0,21.85,18.72,0.01,2000.0,,18.0,0.6,8000.0,8000.0,0,1,0,1,0,pointleaf manzanita
23526,2,6,Arctostaphylos tomentosa,0.5,2,25.0,21.85,18.72,0.01,2000.0,,18.0,0.6,8000.0,8000.0,0,1,0,1,0,woollyleaf manzanita
23530,2,6,Arctostaphylos uva-ursi,0.5,2,25.0,21.85,18.72,0.01,2000.0,,24.0,0.6,8000.0,8000.0,0,1,0,1,0,kinnikinnick
23531,2,6,Arctostaphylos virgata,0.5,2,25.0,21.85,18.72,0.01,2000.0,,18.0,,8000.0,8000.0,0,1,0,1,0,Bolinas manzanita
23533,2,6,Arctostaphylos viscida,0.5,2,25.0,21.85,18.72,0.01,2000.0,,18.0,0.6,8000.0,8000.0,0,1,0,1,0,sticky whiteleaf manzanita
23535,2,7,Cassiope tetragona,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,white arctic mountain heather
23537,2,7,Cassiope mertensiana,0.5,2,25.0,21.85,18.72,0.01,3000.0,,21.0,0.6,8000.0,8000.0,0,1,0,1,0,western moss heather
23542,2,5,Ledum glandulosum,0.5,1,25.0,21.85,18.72,0.01,2500.0,,2.0,0.6,8000.0,8000.0,0,1,0,1,8944,western Labrador tea
23546,2,5,Ledum groenlandicum,0.5,2,25.0,21.85,18.72,0.01,2500.0,,2.0,0.6,8000.0,8000.0,0,1,0,1,5200,bog Labrador tea
23550,2,5,Leucothoe axillaris,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,coastal doghobble
23552,2,5,Leucothoe davisiae,0.5,1,25.0,21.85,18.72,0.01,2500.0,,10.0,0.6,8000.0,8000.0,0,1,0,1,0,Sierra laurel
23558,3,5,Lyonia spp.,0.5,1,25.0,25.0,18.72,0.01,2500.0,3.0,27.0,0.6,8000.0,8000.0,1,1,0,1,0,staggerbush
23560,3,5,Lyonia ferruginea,0.5,2,25.0,25.0,18.72,0.01,2500.0,3.0,28.0,0.6,8000.0,8000.0,1,1,0,1,0,rusty staggerbush
23563,2,5,Lyonia lucida,0.5,1,25.0,21.85,18.72,0.01,2500.0,,29.0,0.6,8000.0,8000.0,0,1,0,1,0,fetterbush lyonia
23564,2,5,Lyonia mariana,0.5,2,25.0,25.0,18.72,0.01,2500.0,3.0,29.0,0.6,8000.0,8000.0,1,1,0,1,0,piedmont staggerbush
